t,phi,theta,psi
36.30397463,1.763996534,1.570796327,-3.130295225
36.4035964,1.763929523,1.570796327,-3.130341184
36.50332618,1.76456113,1.570796327,-3.130072551
36.57028723,1.763669023,1.570796327,-3.130368479
36.68607903,1.759732443,1.570796327,-3.136495695
36.80204582,1.759536378,1.570796327,-3.138872373
36.9016819,1.751857717,1.570796327,-3.137704169
37.00144053,1.742453923,1.570796327,-3.136376981
37.10111499,1.739548762,1.570796327,-3.134887335
37.20084715,1.736938344,1.570796327,-3.133611583
37.3005054,1.731059809,1.570796327,-3.133753019
37.40004802,1.725966974,1.570796327,-3.134002237
37.49967456,1.71975849,1.570796327,-3.134689875
37.59947515,1.717518245,1.570796327,-3.134914762
37.69901514,1.715609456,1.570796327,-3.135005503
37.79860973,1.714367221,1.570796327,-3.13507654
37.89827013,1.715769978,1.570796327,-3.134940091
37.99791741,1.720467501,1.570796327,-3.134638688
38.09761477,1.726113458,1.570796327,-3.134476944
38.19721055,1.737655927,1.570796327,-3.133657708
38.29679108,1.748251374,1.570796327,-3.134141896
38.39658093,1.762263681,1.570796327,-3.132677356
38.49620318,1.770199933,1.570796327,-3.132541838
38.59588385,1.777154813,1.570796327,-3.131952309
38.69558597,1.780691377,1.570796327,-3.132495141
38.79511976,1.784231098,1.570796327,-3.132337675
38.894732,1.783771425,1.570796327,-3.132360964
38.99437809,1.788445686,1.570796327,-3.131375141
39.09407139,1.78488421,1.570796327,-3.129856271
39.19381738,1.803644009,1.570796327,-3.128871642
39.29341483,1.833232535,1.570796327,-3.125454104
39.39307809,1.856051696,1.570796327,-3.122837209
39.4927454,1.875602303,1.570796327,-3.121495555
39.59234977,1.893862453,1.570796327,-3.117533714
39.69204712,1.90851008,1.570796327,-3.11414443
39.79178071,1.924540155,1.570796327,-3.111498009
39.89133263,1.935785375,1.570796327,-3.110257234
39.99101448,1.939677344,1.570796327,-3.110492613
40.09077263,1.947899994,1.570796327,-3.105415007
40.19029164,1.952200067,1.570796327,-3.102723692
40.28991199,1.952086953,1.570796327,-3.101189207
40.38958788,1.951777193,1.570796327,-3.102183735
40.48928404,1.942180508,1.570796327,-3.104650303
40.58893824,1.925305622,1.570796327,-3.108656589
40.68853736,1.914773567,1.570796327,-3.110047573
40.7882154,1.90848287,1.570796327,-3.110528491
40.88796973,1.908287259,1.570796327,-3.108922714
40.98754144,1.907616648,1.570796327,-3.109175225
41.08715725,1.911879917,1.570796327,-3.108769887
41.18692732,1.94056349,1.570796327,-3.10569156
41.28648758,2.002348608,1.570796327,-3.096686595
41.38615584,2.108862209,1.570796327,-3.077211517
41.4859705,2.322879137,1.570796327,-3.018874275
41.58547688,2.755734214,0.499372648,-2.922271566
41.68512678,3.072291092,0.07853532,-2.910621772
41.78469968,-3.014054011,-0.147912728,-2.909601096
41.88445306,-2.878486102,-0.295089223,-2.941570546
41.98408508,-2.792383108,-0.380117919,-2.959440062
42.08372831,-2.76289931,-0.46099299,-2.949151786
